hgnc	ensg	confidence	phenotype	panel	disease_group	moi
WDR34	ENSG00000119333	3	Short-rib thoracic dysplasia 11 with or without polydactyly, 615633	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
FERMT3	ENSG00000149781	3	Leukocyte adhesion deficiency, type III 612840	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
LMBR1	ENSG00000105983	3	Laurin-Sandrow syndrome 135750	Skeletal dysplasia	Skeletal disorders	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
LMNA	ENSG00000160789	3	Emery-Dreifuss muscular dystrophy 2, 181350	Skeletal dysplasia	Skeletal disorders	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
MKS1	ENSG00000011143	3	Meckel syndrome 1 249000	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
PTHLH	ENSG00000087494	3	Brachydactyly, type E2 613382	Skeletal dysplasia	Skeletal disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
MEGF8	ENSG00000105429	3	Carpenter syndrome 2 614976	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
MESP2	ENSG00000188095	3	Spondylocostal dysostosis 2, autosomal recessive 608681	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
B3GAT3	ENSG00000149541	3	Multiple joint dislocations, short stature, craniofacial dysmorphism, and congenital heart defects, 245600	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
SFRP4	ENSG00000106483	3	PYL	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
RASGRP2	ENSG00000068831	3	Bleeding disorder, platelet-type, 18 615888, also with osteopetrosis like bone abnormalities and neurodevelopmental defects	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
IDUA	ENSG00000127415	3	Mucopolysaccharidosis Ih 607014	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
SCARF2	ENSG00000244486	3	Van den Ende-Gupta syndrome 600920	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
NSD1	ENSG00000165671	3	Sotos syndrome 1 117550	Skeletal dysplasia	Skeletal disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
ARHGAP31	ENSG00000031081	3	Adams-Oliver syndrome 1 100300	Skeletal dysplasia	Skeletal disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
TGFBR2	ENSG00000163513	3	Loeys-Dietz syndrome 2 610168	Skeletal dysplasia	Skeletal disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
IFITM5	ENSG00000206013	3	Osteogenesis imperfecta, type V 610967	Skeletal dysplasia	Skeletal disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
SALL4	ENSG00000101115	3	Okihiro (Duane-radial ray) syndrome 607323	Skeletal dysplasia	Skeletal disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
CCDC8	ENSG00000169515	3	3-M syndrome 3, 614205	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
PHEX	ENSG00000102174	3	Hypophosphatemic rickets, X-linked dominant 307800	Skeletal dysplasia	Skeletal disorders	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)
SBDS	ENSG00000126524	3	Shwachman-Diamond syndrome 260400	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
LRP4	ENSG00000134569	3	Sclerosteosis 2 614305	Skeletal dysplasia	Skeletal disorders	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
ERF	ENSG00000105722	3	Chitayat syndrome - 617180	Skeletal dysplasia	Skeletal disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
CRTAP	ENSG00000170275	3	Osteogenesis imperfecta, type VII 610682	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
IFT122	ENSG00000163913	3	Cranioectodermal dysplasia 1 218330	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
CTSC	ENSG00000109861	3	Haim-Munk syndrome 245010,	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
SLC35D1	ENSG00000116704	3	Schneckenbecken dysplasia 269250	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
ACP5	ENSG00000102575	3	Spondyloenchondrodysplasia with immune dysregulation 607944	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
ALX3	ENSG00000156150	3	Frontonasal dysplasia 1 136760 (frontorhiny)	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
DNMT3A	ENSG00000119772	3	Tatton-Brown-Rahman syndrome 615879	Skeletal dysplasia	Skeletal disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
NFIX	ENSG00000008441	3	Marshall-Smith syndrome 602535	Skeletal dysplasia	Skeletal disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
MAN2B1	ENSG00000104774	3	Mannosidosis, alpha-, types I and II 248500	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
TCOF1	ENSG00000070814	3	Treacher Collins syndrome 1 154500	Skeletal dysplasia	Skeletal disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
PEX7	ENSG00000112357	3	Rhizomelic chondrodysplasia punctata, type 1, 215100	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
CEP120	ENSG00000168944	3	Joubert syndrome 213300	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
COMP	ENSG00000105664	3	Epiphyseal dysplasia, multiple, 1 132400	Skeletal dysplasia	Skeletal disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
RNU4ATAC	ENSG00000264229	3	Roifman syndrome 616651	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
POR	ENSG00000127948	3	Antley-Bixler syndrome with genital anomalies and disordered steroidogenesis 201750	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
PIK3R1	ENSG00000145675	3	SHORT syndrome 269880	Skeletal dysplasia	Skeletal disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
RMRP	ENSG00000269900	3	Cartilage-hair hypoplasia 250250	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
DDR2	ENSG00000162733	3	Spondylometaepiphyseal dysplasia, short limb-hand type 271665, at least 3 cases reported	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
DPM1	ENSG00000000419	3	Congenital disorder of glycosylation, type Ie, OMIM:608799	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
RBM8A	ENSG00000265241	3	Thrombocytopenia-absent radius syndrome 274000	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
ORC1	ENSG00000085840	3	"Meier-Gorlin syndrome 1	224690"	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
DYNC2LI1	ENSG00000138036	3	SRTD15 #617088	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
SNX10	ENSG00000086300	3	Osteopetrosis, autosomal recessive 8 615085	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
C21orf2	ENSG00000160226	3	Spondylometaphyseal dysplasia, axial 602271	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
TBCE	ENSG00000116957	3	Kenny-Caffey syndrome, type 1 244460.	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
PCNT	ENSG00000160299	3	Microcephalic osteodysplastic primordial dwarfism, type II 210720	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
FGFR1	ENSG00000077782	3	Hypogonadotropic hypogonadism 2 with or without anosmia 147950	Skeletal dysplasia	Skeletal disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
IL11RA	ENSG00000137070	3	Craniosynostosis and dental anomalies 614188	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
ANKH	ENSG00000154122	3	Chondrocalcinosis 2 118600	Skeletal dysplasia	Skeletal disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
B3GALT6	ENSG00000176022	3	Ehlers-Danlos syndrome, progeroid type, 2 615349	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
DOCK6	ENSG00000130158	3	Adams-Oliver syndrome 2 614219	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
PUF60	ENSG00000179950	3	Verheij syndrome, 615583	Skeletal dysplasia	Skeletal disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
TYROBP	ENSG00000011600	3	Nasu-Hakola disease 221770	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
SALL1	ENSG00000103449	3	Townes Brocks syndrome (Renal-Ear-Anal-Radial syndrome) 107480	Skeletal dysplasia	Skeletal disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
LBR	ENSG00000143815	3	Pelger-Huet anomaly with mild skeletal anomalies 618019	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
RUNX2	ENSG00000124813	3	Metaphyseal dysplasia with maxillary hypoplasia with or without brachydactyly 156510	Skeletal dysplasia	Skeletal disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
CSPP1	ENSG00000104218	3	Joubert syndrome 21 615636	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
TP63	ENSG00000073282	3	Rapp-Hodgkin syndrome 129400	Skeletal dysplasia	Skeletal disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
PAPSS2	ENSG00000198682	3	Brachyolmia 4 with mild epiphyseal and metaphyseal changes 612847	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
BMP1	ENSG00000168487	3	Osteogenesis imperfecta, type XIII, 614856	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
GNPAT	ENSG00000116906	3	Rhizomelic Chondrodysplasia Punctata	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
TGFB2	ENSG00000092969	3	Loeys-Dietz syndrome 4 614816	Skeletal dysplasia	Skeletal disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
ANTXR2	ENSG00000163297	3	Hyaline fibromatosis syndrome 228600	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
POP1	ENSG00000104356	3	Anauxetic dysplasia 2, 617396	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
PITX1	ENSG00000069011	3	Clubfoot, congenital, with or without deficiency of long bones and/or mirror-image polydactyly 119800	Skeletal dysplasia	Skeletal disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
IDH1	ENSG00000138413	3	Metaphyseal chondromatosis with D-2-hydroxyglutaric aciduria 614875	Skeletal dysplasia	Skeletal disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
CHSY1	ENSG00000131873	3	Temtamy preaxial brachydactyly syndrome 605282	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
RPGRIP1L	ENSG00000103494	3	COACH syndrome 216360	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
DLX3	ENSG00000064195	3	Amelogenesis imperfecta, type IV 104510	Skeletal dysplasia	Skeletal disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
PIGT	ENSG00000124155	3	Multiple congenital anomalies-hypotonia-seizures syndrome 3 615398	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
DLX5	ENSG00000105880	3	?Split-hand/foot malformation 1 with sensorineural hearing loss, OMIM:220600	Skeletal dysplasia	Skeletal disorders	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
TBXAS1	ENSG00000059377	3	Ghosal hematodiaphyseal syndrome, OMIM:231095	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
CC2D2A	ENSG00000048342	3	Meckel syndrome 6 612284	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
PRMT7	ENSG00000132600	3	Short stature, brachydactyly, intellectual developmental disability, and seizures  617157	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
POC1A	ENSG00000164087	3	"Short stature, onychodysplasia, facial dysmorphism, and hypotrichosis	614813"	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
CHST3	ENSG00000122863	3	Spondyloepiphyseal dysplasia with congenital joint dislocations (recessive Larsen syndrome) 143095	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
ORC4	ENSG00000115947	3	"Meier-Gorlin syndrome 2	613800"	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
CDC45	ENSG00000093009	3	Craniosynostosis (Wilkie) (from Ana Beleza)	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
BMP2	ENSG00000125845	3	short stature, facial dysmorphism and skeletal anomalies with or without cardiac aomalies 617877.	Skeletal dysplasia	Skeletal disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
CCNQ	ENSG00000262919	3	"STAR syndrome	300707"	Skeletal dysplasia	Skeletal disorders	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)
SH3PXD2B	ENSG00000174705	3	Frank-ter Haar syndrome 249420	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
TREM2	ENSG00000095970	3	Nasu-Hakola disease 221770	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
CLCN5	ENSG00000171365	3	Proteinuria, low molecular weight, with hypercalciuric nephrocalcinosis 308990	Skeletal dysplasia	Skeletal disorders	X-LINKED: hemizygous mutation in males, biallelic mutations in females
CYP27B1	ENSG00000111012	3	Vitamin D-dependent rickets, type I 264700	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
OSTM1	ENSG00000081087	3	Osteopetrosis, autosomal recessive 5 259720	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
SMOC1	ENSG00000198732	3	Microphthalmia with limb anomalies 206920	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
EXT1	ENSG00000182197	3	trichorhinophalangeal syndrome type 2 -150230	Skeletal dysplasia	Skeletal disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
HOXD13	ENSG00000128714	3	Syndactyly, type V 186300	Skeletal dysplasia	Skeletal disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
IMPAD1	ENSG00000104331	3	Chondrodysplasia with joint dislocations, GPAPP type 614078	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
MYCN	ENSG00000134323	3	Feingold syndrome (Microcephaly-oculo-digito-esophageal-duodenal) 164280	Skeletal dysplasia	Skeletal disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
FGFR3	ENSG00000068078	3	Thanatophoric dysplasia, type I 187600	Skeletal dysplasia	Skeletal disorders	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
CASR	ENSG00000036828	3	Hypocalcemia, autosomal dominant 601198	Skeletal dysplasia	Skeletal disorders	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
GSC	ENSG00000133937	3	Foundation Trust) Short stature, auditory canal atresia, mandibular hypoplasia, skeletal abnormalities 602471	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
MAFB	ENSG00000204103	3	Multicentric carpotarsal osteolysis syndrome 166300	Skeletal dysplasia	Skeletal disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
CEP290	ENSG00000198707	3	Meckel syndrome 4 611134	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
PTH1R	ENSG00000160801	3	Failure of tooth eruption, primary 125350	Skeletal dysplasia	Skeletal disorders	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
LMX1B	ENSG00000136944	3	"Nail-patella syndrome	161200"	Skeletal dysplasia	Skeletal disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
COL2A1	ENSG00000139219	3	Epiphyseal dysplasia, multiple, with myopia and deafness 132450	Skeletal dysplasia	Skeletal disorders	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
CDKN1C	ENSG00000129757	3	IMAGE syndrome 614732	Skeletal dysplasia	Skeletal disorders	MONOALLELIC, autosomal or pseudoautosomal, paternally imprinted (maternal allele expressed)
GHR	ENSG00000112964	3	Laron dwarfism, OMIM:262500	Skeletal dysplasia	Skeletal disorders	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
FKBP10	ENSG00000141756	3	Osteogenesis Imperfecta, Recessive	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
MGP	ENSG00000111341	3	"Keutel syndrome	245150"	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
SLC39A13	ENSG00000165915	3	Spondylocheirodysplasia, Ehlers-Danlos syndrome-like 612350	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
XYLT2	ENSG00000015532	3	Spondyloocular syndrome 605822	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
SMAD6	ENSG00000137834	3	{Radioulnar synostosis, nonsyndromic}, OMIM:179300	Skeletal dysplasia	Skeletal disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
RINT1	ENSG00000135249	3	liver failure	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
MBTPS1	ENSG00000140943	3	Skeletal dysplasia	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
POLR1B	ENSG00000125630	3	Treacher-Collins syndrome 4 OMIM:618939	Skeletal dysplasia	Skeletal disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
PKDCC	ENSG00000162878	3	Rhizomelia	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
LTBP3	ENSG00000168056	3	Geleophysic dysplasia 3, OMIM:617809	Skeletal dysplasia	Skeletal disorders	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
PDIA6	ENSG00000143870	2	Asphyxiating thoracic dystrophy (ATD) syndrome and infantile‐onset diabetes	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
LPIN2	ENSG00000101577	3	Majeed syndrome, OMIM:609628	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
COL9A3	ENSG00000092758	3	Epiphyseal dysplasia, multiple, 3, with or without myopathy, OMIM:600969	Skeletal dysplasia	Skeletal disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
COL9A2	ENSG00000049089	3	Stickler syndrome, type V, OMIM:614284	Skeletal dysplasia	Skeletal disorders	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
TMEM251	ENSG00000153485	2	Dysostosis multiplex, Ain-Naz type, OMIM:19345	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
MBTPS2	ENSG00000012174	2	Osteogenesis imperfecta, type XIX, OMIM:301014	Skeletal dysplasia	Skeletal disorders	X-LINKED: hemizygous mutation in males, biallelic mutations in females
SUCO	ENSG00000094975	2	Osteogenesis imperfecta, MONDO:0019019	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
